1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
856.0,854.0,0.0,None,3,1Fam,TA,No,706.0,0.0,GLQ,Unf,1,0,Gd,150.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,548.0,2,TA,RFn,TA,Attchd,2003.0,1710.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,8450.0,Inside,65.0,Reg,0.0,60,RL,196.0,BrkFace,None,0.0,2,CollgCr,61.0,5,7,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,8,856.0,AllPub,0.0,2003,2003,2008,208500.0
920.0,866.0,0.0,None,3,1Fam,TA,Mn,486.0,0.0,GLQ,Unf,1,0,Gd,434.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,608.0,2,TA,RFn,TA,Attchd,2001.0,1786.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,11250.0,Inside,68.0,IR1,0.0,60,RL,162.0,BrkFace,None,0.0,9,CollgCr,42.0,5,7,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,920.0,AllPub,0.0,2001,2002,2008,223500.0
1145.0,1053.0,0.0,None,4,1Fam,TA,Av,655.0,0.0,GLQ,Unf,1,0,Gd,490.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,836.0,3,TA,RFn,TA,Attchd,2000.0,2198.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14260.0,FR2,84.0,IR1,0.0,60,RL,350.0,BrkFace,None,0.0,12,NoRidge,84.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,9,1145.0,AllPub,192.0,2000,2000,2008,250000.0
1694.0,0.0,0.0,None,3,1Fam,TA,Av,1369.0,0.0,GLQ,Unf,1,0,Ex,317.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,636.0,2,TA,RFn,TA,Attchd,2004.0,1694.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10084.0,Inside,75.0,Reg,0.0,20,RL,186.0,Stone,None,0.0,8,Somerst,57.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1686.0,AllPub,255.0,2004,2005,2007,307000.0
1040.0,0.0,0.0,None,3,1Fam,TA,No,906.0,0.0,Rec,Unf,1,0,TA,134.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,None,None,0,CBlock,1,Typ,384.0,1,TA,Unf,TA,Detchd,1965.0,1040.0,0,GasA,Ex,1Story,1,TA,Lvl,Gtl,11200.0,Inside,70.0,Reg,0.0,20,RL,0.0,None,None,0.0,2,Sawyer,0.0,5,5,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,5,1040.0,AllPub,0.0,1965,1965,2008,129500.0
1494.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1494.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,840.0,3,TA,RFn,TA,Attchd,2006.0,1494.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,10652.0,Inside,91.0,IR1,0.0,20,RL,306.0,Stone,None,0.0,8,CollgCr,33.0,5,7,Y,0.0,None,CompShg,Gable,Partial,New,0.0,Pave,7,1494.0,AllPub,160.0,2006,2007,2007,279500.0
1114.0,0.0,0.0,None,3,1Fam,TA,No,646.0,0.0,GLQ,Unf,1,0,TA,468.0,Y,RRAe,Norm,SBrkr,0.0,TA,TA,VinylSd,VinylSd,None,None,0,PConc,1,Typ,576.0,2,TA,Unf,TA,Detchd,2004.0,1114.0,1,GasA,Ex,1Story,1,Gd,Lvl,Gtl,13695.0,Inside,66.0,Reg,0.0,20,RL,0.0,None,None,0.0,6,SawyerW,102.0,5,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1114.0,AllPub,0.0,2004,2004,2008,159000.0
1339.0,0.0,0.0,None,3,1Fam,TA,No,504.0,0.0,LwQ,Unf,0,0,TA,525.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,BrkFace,Plywood,MnPrv,None,0,CBlock,1,Min1,294.0,1,TA,Unf,TA,Attchd,1958.0,1339.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,7560.0,Inside,70.0,Reg,0.0,20,RL,0.0,None,None,0.0,5,NAmes,0.0,6,5,Y,0.0,None,CompShg,Hip,Abnorml,COD,0.0,Pave,6,1029.0,AllPub,0.0,1958,1965,2009,139000.0
1158.0,1218.0,0.0,None,4,1Fam,None,None,0.0,0.0,None,None,0,0,None,1158.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,3,Typ,853.0,3,TA,RFn,TA,BuiltIn,2005.0,2376.0,1,GasA,Ex,2Story,1,Gd,Lvl,Gtl,14215.0,Corner,101.0,IR1,0.0,60,RL,380.0,BrkFace,None,0.0,11,NridgHt,154.0,5,8,Y,0.0,None,CompShg,Gable,Partial,New,0.0,Pave,9,1158.0,AllPub,240.0,2005,2006,2006,325300.0
1060.0,0.0,0.0,None,3,TwnhsE,TA,No,840.0,0.0,GLQ,Unf,1,0,Gd,200.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,CemntBd,CmentBd,None,TA,1,PConc,1,Typ,572.0,2,TA,Unf,TA,Attchd,1976.0,1060.0,0,GasA,TA,1Story,1,TA,Lvl,Gtl,4224.0,Inside,44.0,Reg,0.0,120,RM,0.0,None,None,0.0,6,MeadowV,110.0,7,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1040.0,AllPub,100.0,1976,1976,2007,129900.0
1704.0,0.0,0.0,None,3,1Fam,TA,No,1218.0,0.0,GLQ,Unf,1,0,Ex,486.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,772.0,3,TA,RFn,TA,Attchd,2008.0,1704.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11478.0,Inside,98.0,Reg,0.0,20,RL,200.0,Stone,None,0.0,5,NridgHt,50.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1704.0,AllPub,0.0,2007,2008,2010,306000.0
1228.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1228.0,Y,Norm,Norm,SBrkr,0.0,TA,TA,HdBoard,HdBoard,MnPrv,None,0,CBlock,1,Typ,271.0,1,TA,Unf,TA,Attchd,1966.0,1228.0,1,GasA,Gd,1Story,1,Gd,Lvl,Gtl,8544.0,CulDSac,59.9111111111111,IR1,0.0,20,RL,0.0,None,None,0.0,6,Sawyer,65.0,6,5,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,6,1228.0,AllPub,0.0,1966,2006,2008,149350.0
1234.0,0.0,0.0,None,3,1Fam,None,None,0.0,0.0,None,None,0,0,None,1234.0,Y,Norm,Norm,SBrkr,0.0,TA,Gd,VinylSd,VinylSd,None,None,0,PConc,2,Typ,484.0,2,TA,RFn,TA,Attchd,2007.0,1234.0,0,GasA,Ex,1Story,1,Gd,Lvl,Gtl,11049.0,Corner,85.0,Reg,0.0,20,RL,0.0,None,None,0.0,1,CollgCr,30.0,5,8,Y,0.0,None,CompShg,Gable,Normal,WD,0.0,Pave,7,1234.0,AllPub,0.0,2007,2007,2008,179900.0
1561.0,0.0,0.0,None,2,TwnhsE,TA,No,1153.0,0.0,GLQ,Unf,1,0,Ex,408.0,Y,Norm,Norm,SBrkr,0.0,TA,Ex,MetalSd,MetalSd,None,Gd,1,PConc,2,Typ,556.0,2,TA,Fin,TA,Attchd,2005.0,1561.0,0,GasA,Ex,1Story,1,Ex,Lvl,Gtl,7313.0,Inside,60.0,Reg,0.0,120,RL,246.0,BrkFace,None,0.0,8,NridgHt,47.0,5,9,Y,0.0,None,CompShg,Hip,Normal,WD,0.0,Pave,6,1561.0,AllPub,203.0,2005,2005,2007,277500.0
